title,original_title,info_text,year,tail,rating,num_ratings,quote,cn_title,en_title
肖申克的救赎 / /The Shawshank Redemption,刺激1995(台),导演: 弗兰克·德拉邦特 Frank Darabont 主演: 蒂姆·罗宾斯 Tim Robbins /... 1994 / 美国 / 犯罪 剧情,1994,美国 / 犯罪 剧情,9.7,3247148,希望让人自由。,肖申克的救赎,The Shawshank Redemption
霸王别姬,Farewell My Concubine,导演: 陈凯歌 Kaige Chen 主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha... 1993 / 中国大陆 中国香港 / 剧情 爱情 同性,1993,中国大陆 中国香港 / 剧情 爱情 同性,9.6,2396366,风华绝代。,霸王别姬,
泰坦尼克号 / /Titanic,台),导演: 詹姆斯·卡梅隆 James Cameron 主演: 莱昂纳多·迪卡普里奥 Leonardo... 1997 / 美国 墨西哥 / 剧情 爱情 灾难,1997,美国 墨西哥 / 剧情 爱情 灾难,9.5,2467936,失去的才是永恒的。,泰坦尼克号,Titanic
阿甘正传 / /Forrest Gump,,导演: 罗伯特·泽米吉斯 Robert Zemeckis 主演: 汤姆·汉克斯 Tom Hanks / ... 1994 / 美国 / 剧情 爱情,1994,美国 / 剧情 爱情,9.5,2405240,一部美国近现代史。,阿甘正传,Forrest Gump
千与千寻 / /千と千尋の神隠し,千与千寻的神隐,导演: 宫崎骏 Hayao Miyazaki 主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy... 2001 / 日本 / 剧情 动画 奇幻,2001,日本 / 剧情 动画 奇幻,9.4,2507483,最好的宫崎骏，最好的久石让。,千与千寻,千と千尋の神隠し
美丽人生 / /La vita è bella,Life Is Beautiful,导演: 罗伯托·贝尼尼 Roberto Benigni 主演: 罗伯托·贝尼尼 Roberto Beni... 1997 / 意大利 / 剧情 喜剧 爱情 战争,1997,意大利 / 剧情 喜剧 爱情 战争,9.5,1466508,最美的谎言。,美丽人生,La vita è bella
星际穿越 / /Interstellar,星际效应(台),导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 马修·麦康纳 Matthew Mc... 2014 / 美国 英国 加拿大 / 剧情 科幻 冒险,2014,美国 英国 加拿大 / 剧情 科幻 冒险,9.4,2148416,爱是一种力量，让我们超越时空感知它的存在。,星际穿越,Interstellar
这个杀手不太冷 / /Léon,杀手莱昂,导演: 吕克·贝松 Luc Besson 主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ... 1994 / 法国 美国 / 剧情 动作 犯罪,1994,法国 美国 / 剧情 动作 犯罪,9.4,2529174,怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,Léon
盗梦空间 / /Inception,全面启动(台),导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 莱昂纳多·迪卡普里奥 Le... 2010 / 美国 英国 / 剧情 科幻 悬疑 冒险,2010,美国 英国 / 剧情 科幻 悬疑 冒险,9.4,2299939,诺兰给了我们一场无法盗取的梦。,盗梦空间,Inception
楚门的世界 / /The Truman Show,真人戏,导演: 彼得·威尔 Peter Weir 主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau... 1998 / 美国 / 剧情 科幻,1998,美国 / 剧情 科幻,9.4,1989984,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,The Truman Show
辛德勒的名单 / /Schindler's List,辛德勒名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 连姆·尼森 Liam Neeson... 1993 / 美国 / 剧情 历史 战争,1993,美国 / 剧情 历史 战争,9.5,1235333,拯救一个人，就是拯救整个世界。,辛德勒的名单,Schindler's List
